tahun;listrik;lpg;minyak_tanah;arang;kayu;lainnya;jumlah
01/01/2001;2.92;8.22;44.1;0.27;43.23;1.26;100
01/01/2007;1.86;10.57;36.57;0.79;49.38;0.82;100
01/01/2008;1.06;18.68;30.89;0.81;47.49;1.07;100
01/01/2009;1.43;35.54;18.14;0.6;43.24;1.05;100
01/01/2010;1.53;41.51;12.11;0.7;42.46;1.7;100
01/01/2011;1.19;47.4;9.55;0.45;39.89;1.53;100
01/01/2012;1.02;54.54;6.46;0.36;36.35;1.27;100
01/01/2013;0.79;58.42;5.95;0.31;32.23;2.3;100
01/01/2014;0.62;61.88;5.12;0.29;29.68;2.41;100
01/01/2015;0.64;68.78;4.44;0.24;24.4;1.5;100
01/01/2016;0.85;72.38;3.78;0.19;21.57;1.24;100
